POINT_ID,DO_RSG1,Corine_Landcover,hoehe_m,DO_MAT1
33923916,Histosols,Wetlands,57.58,peat
34003734,Histosols,Agricultural areas,172.25,peat
35063818,Podzols,Forest and semi natural areas,330.72,igneous rocks
35323916,Podzols,Forest and semi natural areas,1.76,igneous rocks
35503892,Podzols,Agricultural areas,228.11,igneous rocks
35563912,Podzols,Agricultural areas,76.36,igneous rocks
35563854,Podzols,Agricultural areas,209.61,igneous rocks
35823892,Podzols,Agricultural areas,102.22,igneous rocks
50423510,Albeluvisols,Forest and semi natural areas,55.02,morainic deposits
51103642,Albeluvisols,Forest and semi natural areas,45.71,morainic deposits
51183646,Albeluvisols,Agricultural areas,47.03,morainic deposits
51223644,Albeluvisols,Agricultural areas,41.84,morainic deposits
51243634,Albeluvisols,Agricultural areas,40.25,morainic deposits
51323646,Albeluvisols,Forest and semi natural areas,57.43,morainic deposits
51463642,Albeluvisols,Agricultural areas,65.07,morainic deposits
51663638,Albeluvisols,Forest and semi natural areas,75.69,morainic deposits
51743642,Albeluvisols,Forest and semi natural areas,65.57,morainic deposits
52463652,Albeluvisols,Agricultural areas,85.3,morainic deposits
51403564,Albeluvisols,Agricultural areas,169.49,morainic deposits
51583590,Albeluvisols,Agricultural areas,52.08,morainic deposits
52423612,Albeluvisols,Agricultural areas,100.65,morainic deposits
52363614,Albeluvisols,Forest and semi natural areas,90.89,morainic deposits
51623610,Albeluvisols,Agricultural areas,58.18,morainic deposits
51323614,Albeluvisols,Agricultural areas,37.82,morainic deposits
51423624,Albeluvisols,Agricultural areas,46.18,morainic deposits
51363628,Albeluvisols,Agricultural areas,46.01,morainic deposits
50163370,Albeluvisols,Agricultural areas,138.17,morainic deposits
50063396,Albeluvisols,Agricultural areas,156.57,morainic deposits
50143404,Albeluvisols,Agricultural areas,193.08,morainic deposits
51683378,Albeluvisols,Agricultural areas,132.67,morainic deposits
51543382,Albeluvisols,Agricultural areas,134.84,morainic deposits
51023376,Albeluvisols,Forest and semi natural areas,123.93,morainic deposits
51183382,Albeluvisols,Agricultural areas,120.41,morainic deposits
51243394,Albeluvisols,Agricultural areas,138.55,morainic deposits
51363400,Albeluvisols,Agricultural areas,124.27,morainic deposits
51423424,Albeluvisols,Agricultural areas,137.91,morainic deposits
52003302,Albeluvisols,Agricultural areas,165.36,morainic deposits
51863338,Albeluvisols,Agricultural areas,165.63,morainic deposits
51903342,Albeluvisols,Agricultural areas,170.6,morainic deposits
51963348,Albeluvisols,Agricultural areas,162.02,morainic deposits
51943354,Albeluvisols,Agricultural areas,172.27,morainic deposits
52003356,Albeluvisols,Agricultural areas,158.99,morainic deposits
52043360,Albeluvisols,Agricultural areas,150.05,morainic deposits
51603268,Albeluvisols,Forest and semi natural areas,176.74,morainic deposits
51463266,Albeluvisols,Forest and semi natural areas,190.85,morainic deposits
51563304,Albeluvisols,Agricultural areas,141.05,morainic deposits
51363302,Albeluvisols,Forest and semi natural areas,151.81,morainic deposits
51783316,Albeluvisols,Agricultural areas,156.3,morainic deposits
51403314,Albeluvisols,Agricultural areas,157.65,morainic deposits
51643320,Albeluvisols,Agricultural areas,153.5,morainic deposits
51143330,Albeluvisols,Agricultural areas,106.33,morainic deposits
51163334,Albeluvisols,Agricultural areas,118.7,morainic deposits
51663358,Albeluvisols,Agricultural areas,133.89,morainic deposits
50963348,Albeluvisols,Forest and semi natural areas,125.47,morainic deposits
50643432,Arenosols,Agricultural areas,131.19,glaciofluvial deposits
50563432,Arenosols,Agricultural areas,145.46,glaciofluvial deposits
50003436,Arenosols,Forest and semi natural areas,181,glaciofluvial deposits
51003392,Arenosols,Agricultural areas,109.39,glaciofluvial deposits
51423430,Arenosols,Agricultural areas,137.92,glaciofluvial deposits
50923428,Arenosols,Agricultural areas,111.94,glaciofluvial deposits
51143438,Arenosols,Forest and semi natural areas,180.22,glaciofluvial deposits
51383448,Arenosols,Agricultural areas,141.17,glaciofluvial deposits
51283450,Arenosols,Agricultural areas,172.01,glaciofluvial deposits
51143450,Arenosols,Forest and semi natural areas,174.57,glaciofluvial deposits
51463464,Arenosols,Forest and semi natural areas,126.78,glaciofluvial deposits
51323464,Arenosols,Agricultural areas,138.96,glaciofluvial deposits
51423466,Arenosols,Agricultural areas,114.47,glaciofluvial deposits
51083476,Arenosols,Forest and semi natural areas,137.17,glaciofluvial deposits
52863598,Arenosols,Agricultural areas,154.59,glaciofluvial deposits
53043598,Arenosols,Agricultural areas,153.66,glaciofluvial deposits
53323654,Arenosols,Forest and semi natural areas,164.95,glaciofluvial deposits
49203450,Cambisols,Agricultural areas,73.74,morainic deposits
50423474,Cambisols,Agricultural areas,155.2,morainic deposits
50363490,Cambisols,Agricultural areas,104.61,morainic deposits
50503494,Cambisols,Agricultural areas,127.71,morainic deposits
49783488,Cambisols,Forest and semi natural areas,68.09,morainic deposits
49423488,Cambisols,Agricultural areas,90.62,morainic deposits
49703500,Cambisols,Agricultural areas,59.43,morainic deposits
49623502,Cambisols,Forest and semi natural areas,62.99,morainic deposits
49443502,Cambisols,Agricultural areas,132.05,morainic deposits
50143512,Cambisols,Agricultural areas,108.17,morainic deposits
49883510,Cambisols,Agricultural areas,108.85,morainic deposits
51303466,Cambisols,Forest and semi natural areas,181.58,morainic deposits
51023502,Cambisols,Agricultural areas,149.43,morainic deposits
52663594,Cambisols,Agricultural areas,168.85,morainic deposits
52703664,Cambisols,Forest and semi natural areas,171.67,morainic deposits
52763646,Cambisols,Agricultural areas,121.23,morainic deposits
52843662,Cambisols,Agricultural areas,161.13,morainic deposits
52863656,Cambisols,Forest and semi natural areas,137.64,morainic deposits
52763704,Cambisols,Agricultural areas,146.29,morainic deposits
53103728,Cambisols,Forest and semi natural areas,156.29,morainic deposits
53223732,Cambisols,Agricultural areas,157.96,morainic deposits
53183750,Cambisols,Agricultural areas,146.94,morainic deposits
53723760,Cambisols,Forest and semi natural areas,154.52,morainic deposits
54043774,Cambisols,Agricultural areas,169.17,morainic deposits
53723782,Cambisols,Agricultural areas,169.66,morainic deposits
53723804,Cambisols,Forest and semi natural areas,167.94,morainic deposits
53723818,Cambisols,Agricultural areas,154.99,morainic deposits
53643818,Cambisols,Agricultural areas,149.21,morainic deposits
54263840,Cambisols,Agricultural areas,117.33,morainic deposits
53363818,Cambisols,Agricultural areas,107.9,morainic deposits
54003836,Cambisols,Agricultural areas,159.32,morainic deposits
53923834,Cambisols,Agricultural areas,160.54,morainic deposits
54123840,Cambisols,Agricultural areas,168.62,morainic deposits
54203844,Cambisols,Agricultural areas,129.43,morainic deposits
