fid,POINTID,erosion_by_water_t_ha_yr
1,90000005,
2,90000004,
3,90000003,
4,90000002,
5,90000001,
6,64981672,
7,64961676,
8,64901672,
9,64901670,
10,64901668,
11,64881666,
12,64881664,
13,64841674,
14,64841670,
15,64841666,
16,64821674,
17,64821668,
18,64801668,
19,64661660,
20,64661656,
21,64661640,
22,64641662,
23,64641642,
24,64641640,
25,64621658,
26,64621644,
27,64601644,
28,64601638,
29,64601636,
30,64581660,
31,64581636,
32,64561634,
33,64541646,
34,64541644,
35,64521650,
36,64501650,
37,64501646,
38,64501634,
39,64481650,
40,64481628,
41,64461636,
42,64461632,
43,64441660,
44,64441626,
45,64421628,
46,64401660,
47,64401628,
48,64401626,
49,64401622,
50,64361642,
51,64341644,
52,64301648,
53,64301618,
54,64281660,
55,64281654,
56,64281652,
57,64281648,
58,64281620,
59,64261660,
60,64261646,
61,64261634,
62,64241656,
63,64241648,
64,64241638,
65,64241634,
66,64241632,
67,64221656,
68,64221650,
69,64221626,
70,64221616,
71,64221614,
72,64201652,
73,64201640,
74,64201632,
75,64181630,
76,64161658,
77,64161654,
78,64161652,
79,64161616,
80,64141632,
81,64141618,
82,64121612,
83,64121610,
84,64101654,
85,64101650,
86,64101646,
87,64101632,
88,64101622,
89,64101618,
90,64101616,
91,64081656,
92,64081650,
93,64081622,
94,64081610,
95,64081606,
96,64061656,
97,64061618,
98,64061612,
99,64061610,
100,64061606,
101,64041624,
102,64021624,
103,64001608,
104,63981622,
105,63981616,
106,63981608,
107,63961644,
108,63961626,
109,63961622,
110,63961606,
111,63941646,
112,63941630,
113,63941628,
114,63941604,
115,63921638,
116,63921610,
117,63921608,
118,63901616,
119,63901606,
120,63901600,
121,63881608,
122,63881600,
123,63861612,
124,63861608,
125,63801600,
126,63801598,
127,63761620,
128,63761602,
129,63761600,
130,63741622,
131,63741606,
132,63721606,
133,63681618,
134,63681608,
135,63661612,
136,63641618,
137,63641612,
138,63641606,
139,63621622,
140,63621618,
141,63621610,
142,63601620,
143,63601616,
144,63601614,
145,63601608,
146,63581632,
147,63581624,
148,63561622,
149,63541612,
150,58082628,0.320383548736572
151,58062624,
152,58042632,0.325372576713562
153,58022456,0.299999982118607
154,58002602,0.324795663356781
155,57981494,
156,57981484,0.0499999970197678
157,57962548,0.483247965574265
158,57962494,0.299999982118607
159,57962444,0.299999982118607
160,57942574,0.365642249584198
161,57942502,0.337310254573822
162,57942484,0.299999982118607
163,57941494,
164,57922630,0.340326488018036
165,57922616,0.402492344379425
166,57922576,0.388321459293365
167,57922522,0.303175181150436
168,57902548,0.469724774360657
169,57902542,0.395328968763351
170,57902484,0.299999982118607
171,57902278,0
172,57882594,0.299999982118607
173,57882562,0.389338582754135
174,57882508,0.302062660455704
175,57882288,0
176,57862632,0.0500000864267349
177,57842474,0.8108229637146
178,57842460,0.299999982118607
179,57841488,
180,57822534,0.100000120699406
181,57822498,1.728919506073
182,57822440,0.299999982118607
183,57821498,
184,57802622,0.304602801799774
185,57802554,0.491801470518112
186,57802466,0.812475025653839
187,57782632,1.9124281607219e-06
188,57782434,0
189,57762610,0.225000604987144
190,57762538,0.362410724163055
191,57762496,3.44087681014571e-07
192,57762456,
193,57742526,0.405950367450714
194,57742428,0.20000047981739
195,57742306,1.07093455881113e-07
196,57722452,0.299999982118607
197,57722448,0.299999982118607
198,57722286,0.735443115234375
199,57702602,0.0500000081956387
200,57702570,1.39687571731884e-07
201,57702504,0.31455934047699
202,57702486,0.496509909629822
203,57702274,6.84367940095854e-09
204,57682628,0
205,57682612,0.0750032737851143
206,57682458,0.299999982118607
207,57662604,
208,57662572,0.367295891046524
209,57662474,0.553420841693878
210,57662420,0.410376667976379
211,57642614,0.538618743419647
212,57642530,0.125000208616257
213,57642498,
214,57642434,0.74474424123764
215,57642386,0
216,57641480,
217,57622568,0.35504949092865
218,57622546,0.390451908111572
219,57622520,1.63772733685619e-06
220,57622366,0
221,57621488,0.231433063745499
222,57602548,
223,57602506,0.314488172531128
224,57582636,0.303733646869659
225,57582622,0.620133697986603
226,57582586,0.519930779933929
227,57582484,0.175003781914711
228,57582316,7.8320923080355e-08
229,57582298,3.78580267579309e-07
230,57562608,0
231,57562540,0.380420565605164
232,57542506,0.722695648670197
233,57542430,0.299999982118607
234,57542404,0.487252175807953
235,57542394,
236,57542308,0.175001382827759
237,57542296,6.13302803039551
238,57522588,0.46515229344368
239,57522472,1.30978202819824
240,57522444,0.301287055015564
241,57522354,0.202156215906143
242,57522274,0
243,57502524,0.518639385700226
244,57501486,
245,57482612,0.488794028759003
246,57482582,0.469459444284439
247,57482576,0.577791392803192
248,57482568,0.502986073493958
249,57482558,0.312183350324631
250,57482496,3.31923217800068e-08
251,57482478,0.699410557746887
252,57482424,0.308323323726654
253,57482360,0
254,57462606,0.583616733551025
255,57462494,0.3929663002491
256,57462462,0.522535264492035
257,57462440,0.304755449295044
258,57462416,0.367668122053146
259,57462398,
260,57462386,0.20000071823597
261,57461486,
262,57442564,0.313065767288208
263,57442502,3.17434718510867e-08
264,57442466,0.439199537038803
265,57442366,6.13960025930282e-07
266,57442340,0.251031547784805
267,57442294,0
268,57422524,1.08632659912109
269,57422516,4.89736251552131e-08
270,57422498,0.314565300941467
271,57422462,0.299999982118607
272,57422426,0.477878600358963
273,57422350,0.0249999985098839
274,57402622,1.24843549728394
275,57402510,0
276,57382612,0.299999982118607
277,57382576,
278,57382482,1.09419679641724
279,57382436,0.320248037576675
280,57382428,0.302268356084824
281,57382392,0.100001730024815
282,57362596,0.299999982118607
283,57362584,0
284,57362448,0.299999982118607
285,57362326,0.507719814777374
286,57361504,
287,57342634,0.0250021666288376
288,57342408,3.00001239776611
289,57342364,3.67076552265644e-07
290,57322470,0.299999982118607
291,57322286,0
292,57302564,0.480453938245773
293,57302532,0.025001373142004
294,57302492,1.63239574432373
295,57302330,0.573139548301697
296,57282426,0.407129466533661
297,57282404,6.15602922439575
298,57282386,0.225002303719521
299,57262658,0
300,57262622,0
301,57262538,0.299999982118607
302,57262478,1.69548606265835e-08
303,57262420,0.429375499486923
304,57262394,7.19209003448486
305,57262276,1.70562148094177
306,57242650,0
307,57242506,0.0499999970197678
308,57242300,0.338514477014542
309,57242282,0.15000031888485
310,57241490,
311,57241480,
312,57222640,0
313,57222550,0.323212146759033
314,57222448,0.338412970304489
315,57202648,
316,57202368,1.00036652384006e-06
317,57202284,0
318,57182484,0.0500002168118954
319,57182452,0.376265347003937
320,57182422,0.125001549720764
321,57182340,0.224999994039536
322,57182332,0.0250000115483999
323,57181462,
324,57162660,
325,57162522,0.299999982118607
326,57162414,4.46776962280273
327,57162364,1.57652010557285e-07
328,57162360,0.17500239610672
329,57162324,0.760558485984802
330,57162300,0.0250003002583981
331,57161464,
332,57142692,0.299999982118607
333,57142566,0
334,57142488,0.321104198694229
335,57142470,0
336,57142440,0.312090814113617
337,57142286,1.86987066268921
338,57141468,0.100002326071262
339,57122654,0.299999982118607
340,57122608,0.299999982118607
341,57122582,7.46305829579796e-07
342,57122510,
343,57122482,0.317995518445969
344,57122438,0.299999982118607
345,57122392,
346,57122348,0
347,57122330,0.0249999985098839
348,57122302,0.478300422430038
349,57122276,0.762023568153381
350,57121474,
351,57102668,0.310820877552032
352,57102642,
353,57102620,0.299999982118607
354,57102596,0.299999982118607
355,57102530,0.299999982118607
356,57102470,0.312648564577103
357,57102386,4.4568657875061
358,57102368,0.3043492436409
359,57102308,0.757525086402893
360,57102282,1.42771482467651
361,57082676,0.305511176586151
362,57082654,1.44424450354563e-06
363,57082592,0
364,57082582,0
365,57082532,0.299999982118607
366,57082430,0.396094501018524
367,57082394,0.0750004798173904
368,57082268,0.994009613990784
369,57081488,
370,57081466,
371,57062714,0
372,57062656,0.299999982118607
373,57062632,0.299999982118607
374,57062620,0.299999982118607
375,57062596,0.299999982118607
376,57062512,0.299999982118607
377,57062494,
378,57062416,4.50692319869995
379,57062390,6.81185054779053
380,57062336,0.100002624094486
381,57061468,
382,57042762,1.24684154987335
383,57042730,1.10276567935944
384,57042700,0.34609180688858
385,57042556,0.299999982118607
386,57042376,0.175004959106445
387,57042286,1.1882506608963
388,57022742,0.570932388305664
389,57022612,1.35802638530731
390,57022508,0.299999982118607
391,57022486,0.313960134983063
392,57022472,0
393,57022450,0.308817058801651
394,57022414,1.53929448127747
395,57022320,1.18666183948517
396,57022266,2.15074749121413e-07
397,57021478,
398,57002722,1.74530998720002e-06
399,57002658,0.330910384654999
400,57002566,0.299999982118607
401,57002452,0.325930088758469
402,57002272,0.391517132520676
403,57002188,0.375234037637711
404,57001486,
405,56982778,3.24299708154285e-06
406,56982774,1.47039067745209
407,56982588,
408,56982544,0.405623346567154
409,56982310,0.756708025932312
410,56982288,1.35446536540985
411,56982274,0.542187809944153
412,56982198,0
413,56982192,0.363818824291229
414,56981490,
415,56962782,0.806155681610107
416,56962772,1.08297121524811
417,56962686,0.32313483953476
418,56962584,0.502371251583099
419,56962458,4.23401070293039e-06
420,56962314,1.12925803661346
421,56961498,
422,56961468,
423,56942608,0.299999982118607
424,56942550,0.299999982118607
425,56942518,0.299999982118607
426,56942392,3.12002944946289
427,56942334,2.79530000686646
428,56942194,0.442314028739929
429,56922722,1.19340884685516
430,56922704,0.42972069978714
431,56922692,0.3114213347435
432,56922668,0.299999982118607
433,56922638,0.299999982118607
434,56922596,6.32412024970108e-07
435,56922578,0
436,56922560,0.299999982118607
437,56922416,6.89868259429932
438,56922404,1.8636691570282
439,56922264,0.547313570976257
440,56922206,0.455991268157959
441,56922188,0.387035846710205
442,56902744,0.299999982118607
443,56902700,0.423610210418701
444,56902664,0.321480274200439
445,56902622,0.299999982118607
446,56902496,0.299999982118607
447,56902442,0.299999982118607
448,56902286,0.954923629760742
449,56902276,0.614483714103699
450,56902250,9.82232222668245e-07
451,56901488,
452,56901476,
453,56882794,0.647270202636719
454,56882768,0.648136377334595
455,56882530,0.299999982118607
456,56882470,0.299999982118607
457,56882134,0.200000703334808
458,56881472,
459,56862754,0.299999982118607
460,56862736,8.13942762079023e-08
461,56862730,0.319535881280899
462,56862538,0.299999982118607
463,56862438,0.299999982118607
464,56862420,1.74214065074921
465,56862330,0.0750022828578949
466,56862298,1.22722780704498
467,56861470,
468,56842806,0.80244654417038
469,56842782,8.96150493621826
470,56842734,0.636394560337067
471,56842716,0.0250015389174223
472,56842706,0.44404411315918
473,56842702,0.396008521318436
474,56842684,0.411293268203735
475,56842666,0.299999982118607
476,56842554,0.299999982118607
477,56842490,0.354019165039062
478,56842364,0.174999997019768
479,56842342,7.01055145263672
480,56842320,0.0750045403838158
481,56842292,0.508639276027679
482,56842256,0.469206303358078
483,56842176,5.24372100830078
484,56822746,
485,56822638,0.299999982118607
486,56822584,0.687618792057037
487,56822578,0.299999982118607
488,56822506,0
489,56822422,5.29931163787842
490,56822416,0.578266143798828
491,56822398,1.18548500537872
492,56822134,0.849555671215057
493,56821494,
494,56802796,2.04949641227722
495,56802760,0.48743599653244
496,56802702,0.10000216960907
497,56802630,0.299999982118607
498,56802616,0.299999982118607
499,56802486,0.31444177031517
500,56802414,5.21486186981201
501,56802342,0
502,56802310,0.567627608776093
503,56802234,1.34783267974854
504,56802210,0.778736174106598
505,56802180,2.95567417144775
506,56802166,3.58049249649048
507,56801500,
508,56782776,0
509,56782772,8.09308528900146
510,56782440,0.331964939832687
511,56782386,0.903196632862091
512,56782268,0.345697373151779
513,56782152,0.25000074505806
514,56781468,
515,56762816,0.60778683423996
516,56762744,0
517,56762726,0.34528249502182
518,56762676,0.343754827976227
519,56762654,0.299999982118607
520,56762564,0.299999982118607
521,56762546,0.299999982118607
522,56762532,0.299999982118607
523,56762518,0.299999982118607
524,56762298,0.772894382476807
525,56762266,0.2943135201931
526,56762248,3.396853344384e-06
527,56762190,0.562933623790741
528,56762172,16.1140899658203
529,56762132,0.150003582239151
530,56742782,0.65646892786026
531,56742768,0.815181374549866
532,56742596,0.299999982118607
533,56742470,0
534,56742462,0.304870247840881
535,56742296,0.303183019161224
536,56742272,0.249999985098839
537,56742246,1.0113340067619e-06
538,56722766,2.55015180528062e-07
539,56722700,0.334971725940704
540,56722664,3.07544951283489e-06
541,56722646,0.0250006839632988
542,56722600,1.26284521684283e-06
543,56722496,0
544,56722388,1.14884161949158
545,56722276,0.725848138332367
546,56722160,0
547,56702736,0.930245637893677
548,56702720,0
549,56702624,0.326759099960327
550,56702444,2.7856388092041
551,56702372,0.423657536506653
552,56702354,0
553,56702146,0
554,56682820,0.15000307559967
555,56682748,0
556,56682726,0.733252167701721
557,56682682,3.70719647407532
558,56682636,8.27072739184587e-08
559,56682592,0.299999982118607
560,56682550,0.299999982118607
561,56682510,0.299999982118607
562,56682466,0.299999982118607
563,56682316,0.339421093463898
564,56682268,0.900615572929382
565,56682258,1.09462285041809
566,56682240,2.89559602737427
567,56682222,0.326917171478271
568,56682190,0.620263695716858
569,56662792,0.743014574050903
570,56662778,2.14164304733276
571,56662738,
572,56662698,0.356293678283691
573,56662656,0.299999982118607
574,56662608,0
575,56662432,2.43543410301208
576,56662410,5.49271106719971
577,56662360,13.2184429168701
578,56662338,0
579,56662284,0.150000959634781
580,56662230,0.325534462928772
581,56662180,3.6490843296051
582,56661496,
583,56661478,
584,56642674,0.368442952632904
585,56642566,0.31765604019165
586,56642524,0.299999982118607
587,56642452,0.299999982118607
588,56642422,3.66741323471069
589,56642296,0.277535557746887
590,56642260,0.40364807844162
591,56642232,0.844925880432129
592,56642224,0.280679285526276
593,56622714,0.512450277805328
594,56622516,0.299999982118607
595,56622418,7.47290515899658
596,56622382,0.59196138381958
597,56622264,0.150000244379044
598,56622238,1.39798784255981
599,56622210,1.45740222930908
600,56622184,0.0500030443072319
601,56621496,
602,56602794,0.800521492958069
603,56602728,0.795536518096924
604,56602610,0.299999982118607
605,56602362,0.124999992549419
606,56582716,0.392416000366211
607,56582712,0.491609334945679
608,56582702,0.70432835817337
609,56582694,0.463667511940002
610,56582658,0.299999982118607
611,56582654,0.299999982118607
612,56582630,0.299999982118607
613,56582460,0.320510149002075
614,56582410,0.125000938773155
615,56582360,0
616,56582258,0.250000387430191
617,56582212,1.71154284477234
618,56582208,0.341214865446091
619,56562836,0.0250005181878805
620,56562818,0
621,56562804,
622,56562740,0.614008843898773
623,56562638,0.299999982118607
624,56562588,0.250000208616257
625,56562560,0.299999982118607
626,56562494,0.299999982118607
627,56562458,0
628,56562426,0.150000885128975
629,56562372,0.125001490116119
630,56562344,0
631,56562290,0.323445737361908
632,56562264,0.576247036457062
633,56562182,0.252270668745041
634,56542780,1.261146068573
635,56542766,0
636,56542610,0.299999982118607
637,56542574,0.299999982118607
638,56542550,0.299999982118607
639,56542538,0.302943199872971
640,56542502,0.317658722400665
641,56542484,0
642,56542466,0.306614518165588
643,56542258,0.225001558661461
644,56542222,1.63578343391418
645,56542136,0
646,56522678,0.306336939334869
647,56522596,0.299999982118607
648,56522524,0.299999982118607
649,56522512,0.299999982118607
650,56522390,0.415983766317368
651,56522380,0.150001868605614
652,56522156,0
653,56502790,0.935028851032257
654,56502718,1.39746916294098
655,56502682,0.299999982118607
656,56502574,0.299999982118607
657,56502448,0.299999982118607
658,56502438,1.42268228530884
659,56502420,2.26015639305115
660,56502370,0.675513684749603
661,56501476,
662,56482800,0.517725825309753
663,56482796,2.26984809614805e-07
664,56482752,0
665,56482666,
666,56482504,0.299999982118607
667,56482464,0.299999982118607
668,56482410,0.452060669660568
669,56482382,1.46914672851562
670,56482306,0.298546344041824
671,56482284,0.381245642900467
672,56482274,0.277748584747314
673,56482216,0.947838723659515
674,56482194,0.50021630525589
675,56462844,0
676,56462808,14.8473014831543
677,56462736,1.62074327468872
678,56462638,0.482888847589493
679,56462592,0.299999982118607
680,56462398,3.00148487091064
681,56462394,0.150000333786011
682,56462260,0.726034939289093
683,56462224,2.38375616073608
684,56442786,3.79305577278137
685,56442750,7.89222717285156
686,56442598,0.299999982118607
687,56442498,0.299999982118607
688,56442264,0.573047041893005
689,56442238,0.124999992549419
690,56422776,0
691,56422764,5.75383567810059
692,56422560,0.301547080278397
693,56422548,0.299999982118607
694,56422422,0.366071194410324
695,56422362,0
696,56422350,0
697,56422290,1.53330589114375e-07
698,56422152,2.49661016464233
699,56421486,
700,56402702,0.363520711660385
701,56402594,0.299999982118607
702,56402528,0.299999982118607
703,56402320,0
704,56402240,0.175001159310341
705,56382822,0
706,56382710,0.350472897291183
707,56382678,0.502540230751038
708,56382624,0.642798066139221
709,56382452,0.302766591310501
710,56382440,0
711,56382434,0.358311265707016
712,56382390,0
713,56382134,0.235388487577438
714,56362744,0
715,56362700,4.54553259032764e-07
716,56362676,0.0500007532536983
717,56362662,0
718,56362610,0.299999982118607
719,56362586,0.0750062391161919
720,56362574,0.299999982118607
721,56362514,
722,56362466,0.692227602005005
723,56362376,0
724,56362240,0.303645193576813
725,56362232,2.44837784767151
726,56342372,1.00266230106354
727,56342314,0
728,56342242,
729,56342236,2.03322906600079e-06
730,56342170,0.648045241832733
731,56322820,0.470511436462402
732,56322790,0
733,56322690,0
734,56322636,0.0250014141201973
735,56322618,0.050001434981823
736,56322592,0.339265316724777
737,56322420,0.473389565944672
738,56322406,0.611724317073822
739,56322370,0.529117107391357
740,56322276,0.299999982118607
741,56302846,3.53107987294266e-09
742,56302764,0
743,56302760,4.25270366668701
744,56302620,0
745,56302450,0.299999982118607
746,56302418,0.300914794206619
747,56302396,0.301274478435516
748,56302302,0
749,56302288,0.300768882036209
750,56302252,1.01043879985809
751,56302220,0.358831137418747
752,56302122,0.489110767841339
753,56282854,0.57914125919342
754,56282826,0.299999982118607
755,56282802,0
756,56282790,0.299999982118607
757,56282718,0.299999982118607
758,56282560,0.303126007318497
759,56282556,0.299999982118607
760,56282542,0.335730940103531
761,56282488,0.0750014260411263
762,56282484,0.583153605461121
763,56282430,0.400385111570358
764,56282362,0.149999991059303
765,56282308,0.200003534555435
766,56282268,0.125002309679985
767,56262774,3.14607381820679
768,56262732,0
769,56262684,3.92640686035156
770,56262682,0
771,56262534,0.299999982118607
772,56262504,0.299999982118607
773,56262342,0.174999997019768
774,56242800,0
775,56242710,0.544663429260254
776,56242578,
777,56242170,0.585166990756989
778,56222824,0
779,56222820,0
780,56222748,0.892145752906799
781,56222600,0.0999999940395355
782,56222586,0.307373732328415
783,56222582,0.299999982118607
784,56222546,0.299999982118607
785,56222500,
786,56222478,0.665755808353424
787,56222438,0.343550592660904
788,56222424,0
789,56222208,0.786904156208038
790,56222114,18.4191627502441
791,56202764,2.01082897186279
792,56202746,0
793,56202632,0
794,56202534,0.299999982118607
795,56202458,0.299999982118607
796,56202408,0.793342649936676
797,56202386,0
798,56202314,0.100000560283661
799,56202296,0.0750016272068024
800,56202236,
801,56202206,3.1533801347905e-08
802,56202128,0.175001338124275
803,56202120,0.227576419711113
804,56182712,0
805,56182622,1.61051548275282e-06
806,56182574,0.299999982118607
807,56182520,0.631730556488037
808,56182492,0.31601881980896
809,56182474,3.55764889717102
810,56182448,0.383262693881989
811,56182424,0.275000512599945
812,56182394,0.780262231826782
813,56182376,0
814,56182214,5.0879693031311
815,56182196,0.257899522781372
816,56181488,
817,56162872,0.945345401763916
818,56162858,0.200001388788223
819,56162836,0
820,56162800,0
821,56162614,0.0500009432435036
822,56162596,0.0500062927603722
823,56162548,0.334942668676376
824,56162386,0
825,56162336,0.219477951526642
826,56162290,0.340153306722641
827,56162242,0.352583378553391
828,56162224,0.275000005960464
829,56142844,2.65588255388138e-07
830,56142736,0.520865082740784
831,56142690,0
832,56142568,0.299999982118607
833,56142550,0.348006784915924
834,56142406,
835,56142352,
836,56142276,0
837,56142258,0.275000005960464
838,56142132,1.55889928340912
839,56122842,0
840,56122810,0
841,56122792,0
842,56122710,0
843,56122612,0
844,56122486,0.373178690671921
845,56122342,0
846,56122302,1.15705478191376
847,56102866,0.494954824447632
848,56102784,0
849,56102764,0
850,56102740,2.28641152381897
851,56102728,0
852,56102620,5.77921980493556e-07
853,56102412,0.319566577672958
854,56102380,0.676647126674652
855,56102260,0.349873721599579
856,56101494,
857,56082840,5.66459277706599e-07
858,56082760,0.371452927589417
859,56082552,0.333863079547882
860,56082544,0.299999982118607
861,56082504,0.330080330371857
862,56082490,0.0750025436282158
863,56082450,0.345705777406693
864,56082390,0
865,56082378,0
866,56082364,0.150000616908073
867,56082288,
868,56081496,
869,56062830,0
870,56062610,0.150001585483551
871,56062530,0.310583680868149
872,56062278,0.327311873435974
873,56062206,0
874,56062152,0
875,56062128,0.206360667943954
876,56042802,0.299999982118607
877,56042716,2.22698545455933
878,56042514,0.306462377309799
879,56042478,0.0500000193715096
880,56042474,0.305934280157089
881,56042438,0
882,56042338,0.205089017748833
883,56042258,0.300162076950073
884,56042230,0.307851254940033
885,56022854,0.301028460264206
886,56022818,0
887,56022782,1.30742967128754
888,56022776,
889,56022714,2.58117294311523
890,56022600,8.32403373718262
891,56022578,0.0750022158026695
892,56022570,0.300288081169128
893,56022462,0.300486743450165
894,56022416,0.0250034388154745
895,56022350,3.92369937896729
896,56022242,0.324244976043701
897,56022218,0.435349643230438
898,56022210,1.52790486812592
899,56022164,0.100001290440559
900,56022138,1.0461962223053
901,56002600,1.33462691307068
902,56002294,0
903,56002286,0.250002026557922
904,56002258,0.537071168422699
905,56002132,0.200001075863838
906,56002124,3.45885252952576
907,55982884,0.275001466274261
908,55982786,0.370220810174942
909,55982704,0
910,55982498,0.334040075540543
911,55982192,
912,55981786,
913,55962874,1.73077978615765e-07
914,55962826,0.299999982118607
915,55962744,0
916,55962730,
917,55962718,0.547331690788269
918,55962538,0
919,55962484,0.311862766742706
920,55962478,0.0750015079975128
921,55962430,3.91344261169434
922,55962406,
923,55962348,1.12282693386078
924,55962232,0.604890942573547
925,55962204,0.209653005003929
926,55942896,0.589526653289795
927,55942860,0.386965215206146
928,55942828,0.299999982118607
929,55942806,0.317053198814392
930,55942572,0.0500012263655663
931,55942558,0.370526641607285
932,55942450,0.299999982118607
933,55942274,7.02581601785823e-08
934,55942212,0.601076483726501
935,55941496,
936,55922848,0.368976563215256
937,55922368,0.317426443099976
938,55922326,0
939,55922296,1.02410340309143
940,55922182,6.19694333181542e-07
941,55922152,0
942,55922128,0.299999982118607
943,55902868,0
944,55902760,0
945,55902516,
946,55902468,0.411049723625183
947,55902462,0.314986288547516
948,55902418,2.39074015617371
949,55902396,0.100000977516174
950,55902382,0.404389500617981
951,55902364,0.343454480171204
952,55902264,0.776555061340332
953,55902246,0.467432975769043
954,55901478,
955,55882872,0.280982911586761
956,55882848,0
957,55882620,0
958,55882530,0.417282819747925
959,55882404,
960,55882296,0.533670425415039
961,55882272,9.85488597393669e-08
962,55882224,0.372971564531326
963,55882178,2.38712232203397e-07
964,55882170,0
965,55862852,0.299999982118607
966,55862546,
967,55862518,0.430475294589996
968,55862482,0.370080918073654
969,55862474,0.0750005692243576
970,55862392,0.386069148778915
971,55862330,0
972,55862324,
973,55862266,2.25964065236894e-08
974,55862240,0
975,55842794,0.880946516990662
976,55842768,0.836827099323273
977,55842754,
978,55842746,3.01278567314148
979,55842724,0
980,55842578,0
981,55842566,4.78204867704335e-07
982,55842560,0.409252196550369
983,55842552,0
984,55842462,1.09018707275391
985,55842444,0.150004327297211
986,55842368,1.64273798465729
987,55842354,
988,55842206,0
989,55822910,0.315249562263489
990,55822888,0
991,55822874,0
992,55822862,2.81181741002001e-07
993,55822842,0
994,55822826,0.299999982118607
995,55822736,
996,55822604,
997,55822496,0.435107082128525
998,55822474,0.150004357099533
999,55822430,0.309742093086243
1000,55822352,1.3587429523468
1001,55822214,0
1002,55821782,
1003,55802884,0
1004,55802876,0
1005,55802864,0
1006,55802812,0
1007,55802774,
1008,55802656,0
1009,55802642,0
1010,55802584,1.20580352813704e-07
1011,55802390,4.88456153869629
1012,55802362,0.333033621311188
1013,55802318,0
1014,55802236,0.325674474239349
1015,55802164,0
1016,55801498,
1017,55782866,0
1018,55782838,1.75459313392639
1019,55782816,3.52752232551575
1020,55782808,0.299999982118607
1021,55782690,0
1022,55782654,0
1023,55782546,0.299999982118607
1024,55782424,0.0250006318092346
1025,55782334,0
1026,55762774,0
1027,55762590,0
1028,55762572,
1029,55762558,0.360652446746826
1030,55762536,0.299999982118607
1031,55762518,0.31889870762825
1032,55762500,0.299999982118607
1033,55762482,0.10000217705965
1034,55762446,0.302620887756348
1035,55762346,0
1036,55762306,0
1037,55762274,2.4302966594696
1038,55762126,0.200001522898674
1039,55742898,0.310178816318512
1040,55742844,0
1041,55742758,0
1042,55742728,0
1043,55742656,0
1044,55742494,0.299999982118607
1045,55742434,0.374852269887924
1046,55742358,1.73517298698425
1047,55742340,0
1048,55742290,0.859548926353455
1049,55742250,0.0500055477023125
1050,55742124,0.17500214278698
1051,55741498,
1052,55722912,0.342830538749695
1053,55722894,0.324011266231537
1054,55722864,11.1913909912109
1055,55722828,0.338706403970718
1056,55722774,0
1057,55722684,3.40024001843631e-07
1058,55722292,0.150000959634781
1059,55722274,0
1060,55722108,0.175001353025436
1061,55721490,
1062,55702884,0.310098737478256
1063,55702872,0.31844037771225
1064,55702800,6.03719043731689
1065,55702794,1.20574986934662
1066,55702386,5.43682336807251
1067,55702376,
1068,55702170,0.130170822143555
1069,55682906,0.330234497785568
1070,55682820,6.93612384796143
1071,55682784,0.299999982118607
1072,55682774,
1073,55682676,3.23074221611023
1074,55682572,1.24907245435679e-07
1075,55682474,0.302877217531204
1076,55682392,1.86026692390442
1077,55682266,2.17354649834078e-08
1078,55682262,0.476972699165344
1079,55682216,2.82629203796387
1080,55682118,3.47699689865112
1081,55681794,
1082,55681492,
1083,55681470,
1084,55662908,0.325390070676804
1085,55662876,0
1086,55662830,0
1087,55662746,0
1088,55662566,0.361152917146683
1089,55662452,0.299999982118607
1090,55662404,0.025000898167491
1091,55662242,0.539179980754852
1092,55662224,0.200000271201134
1093,55662170,0
1094,55661480,
1095,55642910,0.32929939031601
1096,55642888,0.299999982118607
1097,55642808,0.299999982118607
1098,55642784,0.322641909122467
1099,55642690,0.556380391120911
1100,55642682,0.351622700691223
1101,55642672,0.33023589849472
1102,55642600,0
1103,55642568,0.546854674816132
1104,55642532,0.299999982118607
1105,55642492,0.299999982118607
1106,55642214,0.232493504881859
1107,55642150,0.191925182938576
1108,55642142,0.31449094414711
1109,55642132,0.354916602373123
1110,55622926,0.337626457214355
1111,55622902,0.338491827249527
1112,55622854,0.30445384979248
1113,55622848,2.4986789226532
1114,55622774,0
1115,55622638,0
1116,55622570,0
1117,55622524,0
1118,55622506,0.299999982118607
1119,55622480,0.299999982118607
1120,55622372,0.381310433149338
1121,55622354,0.991576254367828
1122,55622350,0.497470140457153
1123,55622242,0.324738323688507
1124,55622224,0.344892412424088
1125,55622188,0.100003637373447
1126,55622110,0.175003543496132
1127,55602874,0
1128,55602766,0
1129,55602682,0.347928404808044
1130,55602654,0.649624228477478
1131,55602550,
1132,55602538,0.299999982118607
1133,55602456,0.30692183971405
