POINT_ID,Depth,BD 0-20,pH_CaCl2,EC,OC,P,N,K,Clay,erosion_by_water
30283550,0-20 cm,0.289,3.9,8.07,265.7,10.5,15,88.2,13.0,
27022016,0-20 cm,1.393,6.4,7.05,6.4,,0.5,57.7,16.0,3.4262174608557e-07
26581768,0-20 cm,,6.9,19.44,28.2,40.3,3,448.1,25.0,0.200000464916229
27021938,20-30 cm,1.506,,,,,,,3.0,0.0
27182008,0-10 cm,,6.8,14.61,16.1,< LOD,1.4,201.1,45.0,0.0750019326806068
27842206,0-10 cm,,4.0,12.4,43.6,< LOD,2.8,24.4,14.0,0.0250015929341316
31003478,0-20 cm,0.188,3.4,7.81,528.7,23.6,19.4,249.2,,0.0249999985098839
28302282,0-20 cm,1.106,4.0,9.11,64.6,15.5,5,73,3.0,
27361846,0-10 cm,,7.2,13.46,10.3,22.5,0.9,303.2,49.0,2.4726357460022
31783686,0-20 cm,1.085,4.3,23.4,40.1,< LOD,2.6,90.4,,
27401840,0-20 cm,1.028,7.2,15.75,13.8,< LOD,1,234.8,34.0,
27461842,0-10 cm,,6.2,5.83,9.7,52.7,0.7,140,47.0,5.22855997085571
28322234,0-10 cm,,4.3,3.73,40.7,< LOD,2.9,34,9.0,0.0249999985098839
31523558,0-20 cm,0.383,3.3,24.2,504.6,18.1,16.3,236.4,,
28982458,,0.86,,,,,,,24.0,0.0249999985098839
28982444,,0.857,,,,,,,18.0,0.0249999985098839
28502212,0-10 cm,,4.2,3.53,41.8,< LOD,2.4,37.4,5.0,
28682284,0-20 cm,,4.7,16.71,55.4,114.2,4.1,224.2,6.0,0.0
29002384,0-20 cm,,4.7,78.2,108.6,18.7,10.4,361.2,10.0,0.0750002488493919
28442038,,1.153,,,,,,,8.0,0.175003558397293
32243654,0-20 cm,0.392,4.8,25.8,173.6,32.4,12.4,115.6,10.0,
29342332,0-20 cm,,4.3,20.1,29.4,< LOD,3.2,103,22.0,0.214786320924759
29482396,0-10 cm,,3.4,14.26,180.4,< LOD,8.5,106.7,10.0,2.92662668228149
29042168,0-10 cm,,4.0,4.42,91.6,16.1,6.4,48.7,18.0,0.0
28722000,0-10 cm,,5.0,3.63,12.4,< LOD,1.8,87.1,10.0,28.8877391815186
29042132,0-20 cm,1.331,4.1,13.21,12.2,< LOD,1.3,96.9,9.0,
28661894,0-10 cm,,5.4,4.58,9.6,< LOD,1,177.4,15.0,6.46092700958252
29622346,0-20 cm,,4.7,9.07,79.1,< LOD,6,80.1,13.0,0.0
32563608,,0.766,,,,,,,22.0,0.0
29862388,0-20 cm,,4.6,38.7,49.5,14.6,5,206.5,12.0,1.42093324661255
29061990,0-10 cm,,6.5,69.1,14,14.6,1.5,117.1,9.0,4.51598253903285e-07
29582204,0-20 cm,,4.3,3.2,22.2,< LOD,1.9,68.2,7.0,0.0499999970197678
28721752,0-20 cm,,7.6,15.58,6.2,< LOD,0.9,542.4,50.0,53.0902671813965
29361938,0-10 cm,,4.7,3.61,17.5,< LOD,1.9,84.6,10.0,0.864837110042572
30202338,0-20 cm,0.597,5.3,44.0,78,< LOD,7.1,152.2,18.0,
28901658,0-20 cm,,7.6,23.8,4,25.5,0.5,214.5,14.0,2.2375636100769
29521930,0-10 cm,,6.6,25.1,15.7,< LOD,1.8,87.6,15.0,0.0749999955296516
30202274,0-20 cm,1.189,7.3,40.1,11.1,50.6,1.6,189.7,17.0,
29581942,0-10 cm,,5.0,5.17,13.2,13.9,1.5,42.8,5.0,2.4699969291687
29541908,0-20 cm,1.226,7.4,16.7,9.1,21,1.1,383.8,25.0,
30122158,0-20 cm,,5.3,3.31,4.9,20.1,0.5,100,20.0,1.32464219859685e-06
30122154,0-10 cm,,6.0,6.38,4.3,< LOD,0.6,194.9,11.0,0.347880154848099
29261662,0-10 cm,,7.7,22.6,16.4,< LOD,1.2,435.3,42.0,0.536861956119537
30342234,0-20 cm,1.327,7.3,23.9,13.1,10.4,1.1,67.5,7.0,
30362232,0-10 cm,,7.0,15.91,6,11.2,0.9,181.4,15.0,3.12405490875244
30222150,0-10 cm,,6.2,3.41,3.7,13.8,0.4,132.6,24.0,0.357295632362366
30242156,0-10 cm,,4.8,4.84,2.4,27.7,0.4,118.9,7.0,0.859164476394653
30342192,0-10 cm,,7.6,13.01,5.6,< LOD,0.9,135.6,24.0,6.61590385437012
30442240,0-10 cm,,5.9,6.45,4,15.3,0.6,120.8,10.0,2.01410317420959
29761880,0-10 cm,,5.7,4.49,14.6,< LOD,1.8,56.8,19.0,0.0499999970197678
30142056,0-20 cm,,5.0,14.55,6.7,< LOD,0.9,84.9,5.0,0.0500000193715096
30302136,0-10 cm,,7.3,13.62,8.7,< LOD,0.9,137.3,22.0,3.39226102828979
29461660,0-20 cm,1.176,7.5,19.03,44.8,< LOD,2.8,421.8,28.0,
30502200,0-10 cm,,7.4,15.22,10.4,45.8,1.4,353,22.0,0.336892932653427
29941888,0-10 cm,,6.4,9.15,13.3,< LOD,1.7,82.7,16.0,0.0499999970197678
30682278,0-10 cm,,6.9,13.21,17.6,< LOD,2.2,376.8,29.0,0.34539732336998
29761754,0-10 cm,,7.3,17.35,14.7,25.6,1.4,452.3,35.0,25.3748359680176
29741732,0-10 cm,,7.5,16.62,18,39.8,1.4,139.1,29.0,17.6695747375488
30522156,0-10 cm,,5.4,5.6,15.1,29.9,1.4,161.7,17.0,0.631781756877899
30562176,0-10 cm,,7.4,53.3,10.3,12.7,1.3,226.3,22.0,0.446102887392044
30382072,0-20 cm,,4.4,2.02,54.7,20.6,5.1,57.5,8.0,0.100001513957977
30562152,0-20 cm,,5.1,3.46,2.7,14.1,0.3,95,12.0,0.432785391807556
30081890,0-10 cm,,5.3,3.85,11.1,< LOD,1.5,91.4,11.0,0.0499999970197678
30121906,0-10 cm,,5.1,13.07,12.4,< LOD,1.5,60.3,14.0,0.0249999985098839
30822264,0-10 cm,,5.8,4.47,20.4,< LOD,2,125.6,13.0,0.0
30742212,0-10 cm,,7.5,11.2,7.4,< LOD,1,124,20.0,1.70226871967316
30702180,0-10 cm,,7.4,14.01,18.8,36.6,2.3,321.7,26.0,1.19567787647247
30742170,0-20 cm,,7.4,11.86,4.4,15,0.5,156.7,15.0,1.04927694797516
30782188,0-10 cm,,7.4,23.8,22.9,37.1,2,381.6,22.0,0.629237830638885
30802190,0-10 cm,,7.2,26.3,19.5,81.3,2.3,744.3,20.0,0.299999982118607
30041718,0-20 cm,,7.7,19.53,7.2,27,1,624.4,35.0,0.587430596351624
31162316,0-20 cm,1.284,4.4,11.14,19.5,12,2,53.1,20.0,
30842132,0-20 cm,,6.6,7.34,3.7,< LOD,0.4,90.9,5.0,1.07064867019653
31002206,0-10 cm,,7.2,10.61,8.5,19.3,1,249.6,14.0,0.299999982118607
31022194,0-20 cm,,7.6,34.7,15.3,31.1,1.6,224.3,18.0,4.10091543197632
31042188,0-10 cm,,7.5,27.9,16.1,36.1,2.2,735,29.0,0.526677787303925
33903630,0-20 cm,0.193,3.7,38.59,536.9,59.1,23,401.3,,0.0249999985098839
31322314,0-10 cm,,6.7,13.61,43.5,10.4,4.6,193.7,26.0,0.0
30922090,0-20 cm,,4.6,3.72,4,26.3,0.5,85.1,10.0,2.50230526924133
30381762,0-20 cm,,7.7,18.33,11.3,< LOD,1.1,427.1,37.0,22.6014404296875
31382312,0-10 cm,,6.7,15.72,42.6,10.7,4.1,163.6,21.0,
30481762,0-10 cm,,7.7,19.29,12,< LOD,1.1,628.9,39.0,45.057243347168
31382262,,1.52,,,,,,,24.0,0.799092531204224
30421688,0-10 cm,,7.6,21.0,13.3,14,1.6,270.4,28.0,0.236664056777954
34483786,0-20 cm,,4.8,9.93,66.2,14.5,6,141.6,18.0,
33343208,0-20 cm,1.354,7.2,20.43,17.6,24.8,2.1,186,6.0,
