POINT_ID,SHI,height_m,temp_c_mean_1995_2024,rain_mmsqm_mean_1995_2024,land_use,land_cover,lon_x,lat_y,kg_climate_class_label,geom
33923916,3.65,57.58,7.84,2191.14,Agriculture,Shrubland,-5.59047809,57.42975254,Cfb,"c(-5.59047809411883, 57.429752538228)"
34003734,3.6,172.25,8.73,1669.73,Agriculture,Grassland,-4.81776187,55.85178887,Cfb,"c(-4.81776186922285, 55.8517888667758)"
35063818,3.75,330.72,6.75,1032.82,Agriculture,Shrubland,-3.40918688,56.77610866,Cfb,"c(-3.40918688262648, 56.7761086623443)"
35323916,3.85,1.76,8.8,691.03,Agriculture,Grassland,-3.29797124,57.68261202,Cfb,"c(-3.2979712417587, 57.6826120230133)"
35503892,3.4,228.11,7.98,795.05,Agriculture,Grassland,-2.92593789,57.50061243,Cfb,"c(-2.92593788972182, 57.5006124319126)"
35563854,3.55,209.61,7.52,868.63,Semi natural and natural,Woodland,-2.71123337,57.17500812,Cfb,"c(-2.71123336677938, 57.1750081197262)"
35563912,3.85,76.36,8.26,778.61,Agriculture,Grassland,-2.889611,57.68669793,Cfb,"c(-2.8896110033594, 57.686697934211)"
35823892,2.85,102.22,8.24,846.38,Agriculture,Grassland,-2.40009514,57.55133207,Cfb,"c(-2.40009513976752, 57.5513320650259)"
50423510,3.05,55.02,8.32,606.19,Forestry,Woodland,21.0952924,54.19755399,Dfb,"c(21.0952923962763, 54.1975539939423)"
51323614,3.35,37.82,7.92,602.06,Agriculture,Grassland,22.74010246,54.98443455,Dfb,"c(22.7401024579515, 54.9844345494778)"
51363628,3.35,46.01,7.83,596,Agriculture,Cropland,22.84130976,55.1015966,Dfb,"c(22.8413097616721, 55.1015965978735)"
51403564,3.7,169.49,7.49,628.86,Agriculture,Cropland,22.72347711,54.53061223,Dfb,"c(22.7234771050682, 54.5306122253724)"
51423624,3.2,46.18,7.88,582.97,Agriculture,Cropland,22.92250514,55.05672618,Dfb,"c(22.9225051363861, 55.0567261830857)"
51243634,3.15,40.25,7.92,617.53,Agriculture,Cropland,22.67277946,55.1735362,Dfb,"c(22.6727794642502, 55.1735362017826)"
51663638,3.8,75.69,7.67,574.24,Forestry,Woodland,23.33345134,55.14101917,Dfb,"c(23.3334513425589, 55.1410191743644)"
51463642,3.4,65.07,7.64,589.68,Fallow land,Grassland,23.03601917,55.20899322,Dfb,"c(23.0360191726028, 55.2089932206682)"
51743642,3.15,65.57,7.66,571.02,Semi natural and natural,Woodland,23.46884243,55.16294066,Dfb,"c(23.4688424307082, 55.1629406553661)"
