X,Y,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED,POINT_ID
24.4410497103403,43.1877472661377,290.97,11.66,589.34,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,2.85,54902344
-2.32824476838721,48.365671451847,76.51,11.6,752.87,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.15,34122882
-8.59138199154815,38.2318642872292,91.16,17.17,548.34,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,2.6,27001882
-7.42518688836392,40.5212292978937,1246.21,12.72,1014.87,Forestry,Woodland,9,3.75,28522106
17.6933893915188,40.6007360207577,116.51,16.86,647.89,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,3.45,49741978
12.9366501826331,46.1667208210388,126.31,12.38,1214.32,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,3.2,45482566
-1.01408606961749,46.2348659048312,12.1,13.15,726.07,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.5,34742632
-3.76154890647416,41.3619783311807,1050.76,11.72,508.59,Agriculture (excluding fallow land and kitchen gardens),Cropland,9,2.9,31722134
-5.24604253218482,37.375786408631,165.2,18.81,478.99,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,3.0,29701724
-2.6680589773067,41.9281592457467,1237.77,9.35,754.8,Forestry,Woodland,15,3.55,32722180
20.2976543426411,53.2336957146137,156.57,8.19,586.03,Forestry,Woodland,26,3.6,50063396
16.8496093974917,53.0095270951388,90.39,9.03,532.34,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.75,47803344
1.38106943389208,49.6403657233617,210.07,10.52,826.96,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.25,37002984
16.0240183265738,50.0430134076708,250.47,9.63,585.35,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.9,47523010
24.3941944084594,55.1506266028344,92.44,7.5,571.14,Forestry,Woodland,26,3.4,52323652
-1.77598379649272,49.4987844322031,76.17,11.63,917.52,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.05,34723000
8.77751577220083,44.7401396831318,243.79,13.73,828.93,Agriculture (excluding fallow land and kitchen gardens),Grassland,8,3.25,42242404
-8.60224862098993,39.5068933682506,97.16,14.91,831.12,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,3.0,27302020
15.3715414790568,52.6702919065741,22.82,9.87,539.89,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.95,46843298
-3.88928781305458,41.0694832306032,1169.43,10.03,728.46,Semi-natural and natural areas not in use,Woodland,9,2.2,31562104
23.1370104723955,55.4172867718863,115.95,7.35,594.33,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.6,51483666
-4.58692224747009,42.4709162989716,887.02,11.1,461.19,Agriculture (excluding fallow land and kitchen gardens),Cropland,9,2.35,31262268
3.07594486277694,41.9819434265142,35.6,15.78,624.96,Fallow land,Bareland,8,2.85,37462124
0.804788385581547,46.0087792689143,220.51,12.07,871.58,Semi-natural and natural areas not in use,Woodland,15,3.15,36102588
27.5109505721749,57.924008250769,54.3,6.61,609.64,Forestry,Woodland,26,2.75,53483996
-3.58911729816276,41.4590379775634,1059.65,11.74,494.24,Fallow land,Bareland,9,2.9,31882142
-4.80675460674799,37.777147289587,210.31,17.97,548.87,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,2.7,30161760
1.6007785685259,48.0473284182585,133.08,11.43,608.72,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.4,36962806
-7.32685273578039,52.3042352440068,73.98,10.71,997.57,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.75,31523384
-5.33435748417083,42.1022083108941,778.79,12.27,393.46,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,2.65,30582240
16.1958147674616,50.2862741485564,361.29,9.08,638.3,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.35,47623038
-3.81950086876389,39.119159111258,614.6,15.84,366.52,Agriculture (excluding fallow land and kitchen gardens),Cropland,7,2.95,31261890
11.0196409677429,50.0717714064852,408.87,8.89,755.79,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.6,43942996
22.941925999889,51.9202255300182,153.09,8.53,561.67,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.65,52063280
0.555244358428852,43.8463229094209,121.42,13.58,674.96,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,2.35,35622352
-2.03602208007021,39.8341092708875,1099.58,12.83,460.42,Forestry,Woodland,8,3.75,32901942
24.632241815427,57.3390271812991,51.48,7.01,639.72,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.95,51963894
-3.7336544589119,41.23775953329,1030.14,12.04,495.71,Semi-natural and natural areas not in use,Shrubland,9,3.15,31722120
17.9855309215354,48.6748255569719,592.47,9.05,696.29,Forestry,Woodland,26,3.35,49082872
23.0538441327578,52.6002473859659,158.99,8.09,578.48,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.7,52003356
26.7381403703372,58.5043529921685,69.52,6.17,626.52,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.1,52884048
-5.4428725754884,43.4612613271586,15.96,13.66,1062.97,Agriculture (excluding fallow land and kitchen gardens),Grassland,9,3.35,30782390
24.7993241680755,42.3297761415289,198.03,12.88,495.53,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,2.75,55362256
21.7262236671587,40.7118128130797,605.61,12.84,446.73,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,2.4,53122034
17.6501818009781,52.9611577042445,79.97,8.92,509.66,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.9,48343344
3.83135586397492,45.8660522740617,665.44,10.05,869.11,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.6,38422548
-8.41323820434407,51.7863960374995,125.52,10.91,1075.11,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.75,30663346
13.5134738623268,46.6720877691871,1133.44,6.9,1233.78,Forestry,Woodland,26,3.45,45902624
22.3757888771653,39.517076798943,119.27,15.96,317.68,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,3.05,53861912
22.5856780695821,42.8146973952226,731.48,8.03,638.19,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.8,53482276
