POINT_ID,SHI,hoehe_m,Landuse,Landcover
26762002,2.8,47.67,Agriculture (excluding fallow land and kitchen gardens),Cropland
27842416,3.75,263.47,Forestry,Woodland
26942016,2.75,181.13,Forestry,Woodland
26962018,3.7,206.24,Forestry,Woodland
30303360,3.75,222.32,Agriculture (excluding fallow land and kitchen gardens),Grassland
27922412,3.75,384.28,Forestry,Woodland
27962406,3.85,317.65,Agriculture (excluding fallow land and kitchen gardens),Cropland
26881938,2.85,18.48,Forestry,Woodland
28002400,3.75,321.1,Agriculture (excluding fallow land and kitchen gardens),Cropland
27122016,3.15,111.11,Agriculture (excluding fallow land and kitchen gardens),Cropland
27162028,3.45,304.08,Agriculture (excluding fallow land and kitchen gardens),Cropland
27402128,2.45,16.68,Forestry,Woodland
28102420,3.65,191.29,Forestry,Woodland
27061970,2.7,21.95,Agriculture (excluding fallow land and kitchen gardens),Cropland
28022380,3.9,316.72,Agriculture (excluding fallow land and kitchen gardens),Cropland
28082404,3.6,414.62,Forestry,Woodland
27462138,2.45,20.07,Forestry,Woodland
26741814,2.75,73.81,Agriculture (excluding fallow land and kitchen gardens),Cropland
27722242,3.9,59.72,Agriculture (excluding fallow land and kitchen gardens),Cropland
27202006,3.5,92.78,Fallow land,Grassland
27482128,2.25,24.35,Agriculture (excluding fallow land and kitchen gardens),Grassland
27702222,3.75,66.31,Agriculture (excluding fallow land and kitchen gardens),Cropland
27882298,3.75,143.72,Forestry,Woodland
27722228,3.9,48.04,Agriculture (excluding fallow land and kitchen gardens),Cropland
27762242,3.45,144.59,Forestry,Woodland
27742232,3.35,150.53,Forestry,Woodland
26761786,3.45,372.88,Agriculture (excluding fallow land and kitchen gardens),Cropland
27302020,3.0,97.16,Agriculture (excluding fallow land and kitchen gardens),Cropland
27522114,2.4,69.22,Forestry,Woodland
27001882,2.6,91.16,Agriculture (excluding fallow land and kitchen gardens),Cropland
27201962,2.3,50.65,Forestry,Woodland
27542110,2.5,78.71,Agriculture (excluding fallow land and kitchen gardens),Cropland
27562118,2.85,69.61,Agriculture (excluding fallow land and kitchen gardens),Cropland
31103548,3.8,85.07,Agriculture (excluding fallow land and kitchen gardens),Grassland
30623360,3.85,64.58,Agriculture (excluding fallow land and kitchen gardens),Grassland
28322424,3.75,333.3,Forestry,Woodland
