POINT_ID,BD 0-20,Depth,pH_CaCl2,EC,OC,P,N,K,TH_LAT,TH_LONG,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Clay,erosion_by_water
30283550,0.289,0-20 cm,3.9,8.07,265.7,10.5,15,88.2,53.45790964,-9.74631554,E10,U111,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),13.0,
26762002,1.42,0-20 cm,7.0,12.41,8.6,54,0.7,204.5,39.22887796,-9.16526974,B72,U111,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens),7.0,0.149999991059303
27842416,0.955,0-20 cm,3.7,16.56,91.6,14.6,6.9,61.2,43.082807,-9.052521428,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,13.0,0.0249999985098839
26942016,1.089,0-20 cm,3.9,5.89,15,< LOD,1.2,38.2,39.39184536,-8.998901767,C10,U120,Woodland,Broadleaved woodland,Forestry,13.0,0.175000101327896
26962018,1.088,0-20 cm,5.0,12.67,39.8,< LOD,2.4,110.1,39.41382056,-8.981530426,C10,U120,Woodland,Broadleaved woodland,Forestry,18.0,0.12500374019146
30303360,0.943,0-20 cm,4.8,14.18,54.9,40.2,4.8,90.7,51.82516449,-8.972296895,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),13.0,0.0
27922412,0.972,0-20 cm,4.2,10.78,85.5,21.1,7.1,77.6,43.06614317,-8.945357554,C10,U120,Woodland,Broadleaved woodland,Forestry,9.0,0.125001385807991
27022016,1.393,0-20 cm,6.4,7.05,6.4,,0.5,57.7,39.40977721,-8.908556192,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),16.0,3.4262174608557e-07
27962406,1.141,0-20 cm,4.2,31.3,60.6,85.7,6.2,213.9,43.02295198,-8.880337636,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),17.0,0.0
26881938,1.236,0-20 cm,4.5,11.125,10.4,< LOD,0.85,99.75,38.69604951,-8.865543872,C10,U120,Woodland,Broadleaved woodland,Forestry,5.0,0.0
