POINT_ID,Landcover,Landuse,Clay_SOC_score,OC_score,P_score,N_score,K_score,bulk_density_score,EC_score,erosion_score,pH_score
26762002,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,4,2,4,4,3
27842416,Woodland,Forestry,4,4,4,4,3,4,4,4,1
26942016,Woodland,Forestry,3,2,1,4,2,4,4,4,1
26962018,Woodland,Forestry,3,4,3,4,4,4,4,4,2
30303360,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1
27922412,Woodland,Forestry,4,4,4,4,3,4,4,4,1
27962406,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
26881938,Woodland,Forestry,3,1,4,4,4,3,4,4,1
28002400,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,3,4,4,2
27122016,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,4,4,4,4,3
27162028,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,4,1,4,4,4,4,4,3
27402128,Woodland,Forestry,3,1,4,4,1,2,4,4,2
28102420,Woodland,Forestry,4,4,4,4,2,4,4,4,1
27782284,Grassland,Other abandoned areas,4,4,4,4,4,4,4,4,2
27982368,Artificial land,"Electricity, gas and thermal power distribution",4,3,4,4,2,4,4,4,1
27061970,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,2,3,4,4,2
28022380,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
28082404,Woodland,Forestry,4,4,4,4,3,3,4,4,1
27462138,Woodland,Forestry,4,1,2,4,1,3,4,4,1
26741814,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,1,4,4,2,3,4,4,1
27722242,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
27202006,Grassland,Fallow land,2,3,4,4,4,4,4,4,3
27482128,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,1,1,4,1,4,4,1,2
27702222,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1
27882298,Woodland,Forestry,4,4,4,4,3,4,4,4,1
