POINT_ID,Landcover,Landuse,Clay_SOC_score,OC_score,P_score,N_score,K_score,bulk_density_score,EC_score,erosion_score,pH_score,SHI
26762002,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,4,2,4,4,3,2.8
27842416,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
26942016,Woodland,Forestry,3,2,1,4,2,4,4,4,1,2.75
26962018,Woodland,Forestry,3,4,3,4,4,4,4,4,2,3.7
30303360,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1,3.75
27922412,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
27962406,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
26881938,Woodland,Forestry,3,1,4,4,4,3,4,4,1,2.85
28002400,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,3,4,4,2,3.75
27122016,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,4,4,4,4,3,3.15
27162028,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,4,1,4,4,4,4,4,3,3.45
27402128,Woodland,Forestry,3,1,4,4,1,2,4,4,2,2.45
28102420,Woodland,Forestry,4,4,4,4,2,4,4,4,1,3.65
27782284,Grassland,Other abandoned areas,4,4,4,4,4,4,4,4,2,3.9
27982368,Artificial land,"Electricity, gas and thermal power distribution",4,3,4,4,2,4,4,4,1,3.4
27061970,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,2,3,4,4,2,2.7
28022380,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
28082404,Woodland,Forestry,4,4,4,4,3,3,4,4,1,3.6
27462138,Woodland,Forestry,4,1,2,4,1,3,4,4,1,2.45
26741814,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,1,4,4,2,3,4,4,1,2.75
27722242,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
27202006,Grassland,Fallow land,2,3,4,4,4,4,4,4,3,3.5
27482128,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,1,1,4,1,4,4,1,2,2.25
27702222,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1,3.75
27882298,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
27722228,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
28082380,Shrubland,Other abandoned areas,4,1,4,4,4,4,4,4,2,3.15
27762242,Woodland,Forestry,4,4,3,4,1,4,4,4,1,3.45
27742232,Woodland,Forestry,4,4,1,4,2,4,4,4,1,3.35
26761786,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,4,1,4,4,4,4,4,1,3.45
27302020,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,3,4,3,3,4,4,3,3.0
27522114,Woodland,Forestry,2,1,3,4,1,3,4,4,2,2.4
27001882,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,2,4,4,1,2.6
27201962,Woodland,Forestry,3,1,2,4,2,2,4,4,1,2.3
27542110,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,3,4,3,2,2.5
27562118,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,2,4,4,1,2.85
31103548,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,2,3.8
27382028,Cropland,Other abandoned areas,3,3,3,4,4,4,4,4,2,3.45
30623360,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,3,3.85
28322424,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
28222378,Woodland,Forestry,4,4,2,4,3,4,4,4,1,3.55
26841764,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,4,4,4,4,3,3.75
28142338,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,2,3.9
28162332,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1,3.75
28362414,Woodland,Forestry,4,4,2,4,2,4,4,4,1,3.45
27281940,Woodland,Forestry,4,1,1,4,2,3,4,4,2,2.5
28342404,Woodland,Forestry,4,4,4,4,4,4,4,4,1,3.85
30663346,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,3,4,4,4,3,3.75
27241916,Woodland,Forestry,3,3,3,4,4,3,4,4,2,3.3
28422424,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,2,4,4,2,4,4,1,2.4
28022250,Shrubland,Other abandoned areas,4,3,4,4,3,4,4,4,1,3.5
28262354,Woodland,Forestry,4,4,4,4,4,4,4,4,1,3.85
27081828,Woodland,Forestry,2,1,3,4,3,3,4,2,1,2.35
31063480,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,3,3,4,4,1,3.35
28362378,Woodland,Forestry,4,4,3,4,3,4,4,4,1,3.65
27101814,Woodland,Forestry,2,3,4,4,4,3,4,4,2,3.3
28442408,Shrubland,Forestry,4,4,1,4,3,4,4,2,2,3.3
27341920,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,4,3,2.75
27181846,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,4,2,2.65
28282334,Woodland,Forestry,4,4,2,4,3,4,4,4,1,3.55
27221858,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,2,4,4,1,2.6
28402378,Woodland,Semi-natural and natural areas not in use,4,4,1,4,2,4,4,4,2,3.4
28362360,Grassland,Road transport,4,4,4,4,4,4,4,4,2,3.9
30823370,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
28382362,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,2,4,4,3,3.65
