n_estimators,max_features,max_samples,min_samples_split,min_samples_leaf,oob_r2,oob_rmse
100,0.25,0.5,10,5,0.3924673692493479,0.3489810739266514
200,0.25,0.5,10,5,0.3943656720993284,0.3484354323962281
500,0.25,0.5,10,5,0.3947191096936076,0.3483337471485211
100,0.25,0.5,20,5,0.38694508644502246,0.35056355075859696
200,0.25,0.5,20,5,0.39012202150824504,0.34965403660096395
500,0.25,0.5,20,5,0.3906680793585039,0.3494974691437733
100,0.25,0.5,30,5,0.3845070975224728,0.35125991743771723
200,0.25,0.5,30,5,0.3861993216479056,0.35077671151287343
500,0.25,0.5,30,5,0.38603506375302254,0.35082364367832025
100,0.25,0.5,10,10,0.3795955522209241,0.35265863453449425
200,0.25,0.5,10,10,0.38289696031404086,0.35171906753898224
500,0.25,0.5,10,10,0.3825994095401415,0.35180385213869286
100,0.25,0.5,20,10,0.3795955522209241,0.35265863453449425
200,0.25,0.5,20,10,0.38289696031404086,0.35171906753898224
500,0.25,0.5,20,10,0.3825994095401415,0.35180385213869286
100,0.25,0.5,30,10,0.37694121477723297,0.35341223642472963
200,0.25,0.5,30,10,0.37826070700234893,0.3530378160147927
500,0.25,0.5,30,10,0.3784265251099864,0.35299073521507474
100,0.25,0.5,10,15,0.372157555302006,0.3547663391539829
200,0.25,0.5,10,15,0.3742453625452785,0.35417598362268626
500,0.25,0.5,10,15,0.3731914592837112,0.3544741118097849
100,0.25,0.5,20,15,0.372157555302006,0.3547663391539829
200,0.25,0.5,20,15,0.3742453625452785,0.35417598362268626
500,0.25,0.5,20,15,0.3731914592837112,0.3544741118097849
100,0.25,0.5,30,15,0.372157555302006,0.3547663391539829
200,0.25,0.5,30,15,0.3742453625452785,0.35417598362268626
500,0.25,0.5,30,15,0.3731914592837112,0.3544741118097849
100,0.25,0.632,10,5,0.3959305680328007,0.34798498082092166
200,0.25,0.632,10,5,0.3970338367326116,0.3476670567752802
500,0.25,0.632,10,5,0.39694315523707635,0.3476931990244748
100,0.25,0.632,20,5,0.3899085645854282,0.3497152205982819
200,0.25,0.632,20,5,0.391816155586042,0.34916806007720114
500,0.25,0.632,20,5,0.39296739069296593,0.34883743230899766
100,0.25,0.632,30,5,0.3874322639426945,0.35042423157773206
200,0.25,0.632,30,5,0.39004854232923103,0.34967509943536507
500,0.25,0.632,30,5,0.3898136239793668,0.34974243035854075
100,0.25,0.632,10,10,0.38448695725219706,0.351265664386036
200,0.25,0.632,10,10,0.38580146922124203,0.35089037606524154
500,0.25,0.632,10,10,0.38559516121402393,0.35094930279055375
100,0.25,0.632,20,10,0.38448695725219706,0.351265664386036
200,0.25,0.632,20,10,0.38580146922124203,0.35089037606524154
500,0.25,0.632,20,10,0.38559516121402393,0.35094930279055375
100,0.25,0.632,30,10,0.3823425968662415,0.3518770123333024
200,0.25,0.632,30,10,0.3829565810032436,0.3517020766651898
500,0.25,0.632,30,10,0.38315106041122815,0.3516466476630521
100,0.25,0.632,10,15,0.37699068093695365,0.3533982070156705
200,0.25,0.632,10,15,0.3781812112006554,0.3530603850622092
500,0.25,0.632,10,15,0.37755738539209505,0.3532374406385872
100,0.25,0.632,20,15,0.37699068093695365,0.3533982070156705
200,0.25,0.632,20,15,0.3781812112006554,0.3530603850622092
500,0.25,0.632,20,15,0.37755738539209505,0.3532374406385872
100,0.25,0.632,30,15,0.37699068093695365,0.3533982070156705
200,0.25,0.632,30,15,0.3781812112006554,0.3530603850622092
500,0.25,0.632,30,15,0.37755738539209505,0.3532374406385872
100,0.25,0.8,10,5,0.39385982912357453,0.3485809136051189
